Paragraph_Num,Section,Section_Name,Header,Sub_Header,Sub_sub_head,Paragraph,Summary_Sentence,Tags
47,"III, A, 2",DISCUSSION,The Continuing Need for Open Internet Protections,Broadband Providers Have the Incentive and Ability to Limit Openness,Economic Incentives and Ability,"We also seek comment on the state of competition in broadband Internet access service, 
and its effect on providers’ incentives to limit openness. We seek comment on the appropriate view of 
whether broadband services with substantially different technical characteristics are competitive 
substitutes. For example, how should we regard the ability of DSL service with speeds of, for example,
3 Mbps downstream and 768 kbps upstream to constrain conduct by a provider of high-speed broadband 
with speeds of, for example, 25 Mbps downstream and 3 Mbps upstream (or higher)? How should we 
regard the geography of broadband competition? From an end user’s point of view, do national practices 
or market shares have any impact on edge providers, without regard to the definition of a geographic 
market?",Comments needed: State of broadband internet access service competition. Are broadband services with different technical characteristics competitive substitutes? Do market shares have an impact on edge providers geographically?,"Seek comment, state of competition, limit openness, broad band services, geography, broadband competition edge providers"
48,"III, A, 2",DISCUSSION,The Continuing Need for Open Internet Protections,Broadband Providers Have the Incentive and Ability to Limit Openness,Economic Incentives and Ability,"In the fixed broadband context, we have seen evidence of limited choice between 
broadband providers in many areas of the country. As the speed threshold increases to 6 Mbps 
downstream and 1.5 Mbps upstream, the number of households that are located in census tracts with at 
least three providers that report serving customers at those higher speeds dips down to a mere 
34 percent.108 In many areas of the country, with respect to fixed Internet access, consumers may have 
only limited options, i.e., one or two fixed providers available.109 We seek comment on the extent to 
which commercial practices differ in places where consumers have only one choice of a wireline 
broadband provider, two choices, or more than two choices. We therefore also seek comment as to 
whether increased spectrum availability and technological developments in the mobile broadband 
marketplace, e.g., growth in 4G/ LTE availability, would affect the market power of fixed broadband 
providers. 110 ","There's not a lot of choices between broadband providers in many areas of the country. Homes with at least three providers have reported that speeds dip to 34 percent of what's normal. FCC seeks comment on how broadband speeds are affected by having one option for broadband versus having two or more. And does increasing mobile broadband spectrum, like 4G/LTE, affect the market power of fixed broadband providers?","fixed broadband, limited choice, speed threshold, census tracts, limited options, spectrum availability, 4G, LTE, market power, mobile broadband"
49,"III, A, 2",DISCUSSION,The Continuing Need for Open Internet Protections,Broadband Providers Have the Incentive and Ability to Limit Openness,Economic Incentives and Ability,"We further seek general comment on our approach towards analyzing broadband provider 
incentives. Under the Commission’s reading, which the court upheld, our section 706 authority is not predicated on a finding of market power, specifically, that broadband providers need not be found to be
“benefiting from the sort of market concentration that would enable them to impose substantial price 
increases on end users.”111 Nor do we believe that the open Internet concerns described above solely 
arise in markets where broadband providers possess market power over subscriber prices. We recognize, 
however, that the presence or absence of market power—over broadband subscriptions, over end users 
once they have chosen a broadband provider, and over content providers who wish to reach those end 
users—may inform an understanding of a broadband provider’s behavior in the Internet marketplace and 
its incentives to engage in practices that limit Internet openness. Thus, we seek comment on whether the 
Commission should engage in a market power analysis with respect to broadband providers and, if so, 
how we should go about that analysis.  ","Should the FCC engage in a market power analysis of broadband providers and if yes, how?","market power, broadband subscriptions, end users, broadband providers, market power analysis"
50,"III, A, 2",DISCUSSION,The Continuing Need for Open Internet Protections,Broadband Providers Have the Incentive and Ability to Limit Openness,Economic Incentives and Ability,"We further seek comment on whether there are other economic theories that the 
Commission should consider to better understand and assess broadband providers’ incentives to engage in 
practices that affect the Internet’s openness. For example, do broadband providers have an incentive to 
extract rents from upstream services whose price significantly exceeds the marginal cost of delivering 
those services to an additional customer? Are there positive network effects from widespread adoption of 
broadband services by consumers that we should recognize?112 Do edge providers that incur significant 
sunk costs in the delivery of their output face “lock-in” problems if they become dependent on a 
particular pathway to their current or potential users? In the absence of open Internet protections, would 
those edge providers face uncertainty that would hamper their ability to attract capital? Does the trend 
towards the caching of content closer to end users either increase such lock-in problems or, separately, 
limit the number of pathways by which an edge provider’s output can effectively reach current or 
potential end users? We seek comment on whether and how other theories and new evidence may
supplement or supplant the original Open Internet Order analysis. ",Are there other economic theories that the FCC should consider to when judging broadband providers' likelihood of affecting Internet openness? What are the positive network effects of widespread internet adoption? Would edge providers be stuck if they become dependent on a particular broadband provider over another? What about caching of content closer to users? ,"economic theories, incentives, internet openness, extract rents, upstream services, marginal cost, broadband services, edge providers, lock-in, caching of content, Open Internet Order"
51,"III, A, 2",DISCUSSION,The Continuing Need for Open Internet Protections,Broadband Providers Have the Incentive and Ability to Limit Openness,Technical Ability,"The Open Internet Order likewise found that broadband providers have the technical 
ability to limit Internet openness. As the Order explained, increasingly sophisticated network 
management tools enable providers to identify and differentiate the treatment of traffic on their own 
broadband Internet access service networks.113 The D.C. Circuit agreed, finding “little dispute that 
broadband providers have the technological ability to distinguish between and discriminate against certain 
types of Internet traffic.”114 We seek comment on this general conclusion and on how this ability to 
impose restrictions on edge providers and end users has increased or decreased with further developments 
in technology or business practices since the Open Internet Order. We also seek comment on provider 
abilities that were not identified in the Open Internet Order or elsewhere in this Notice, including identifying the particular ability and its relevance to this proceeding. For example, one commenter has 
expressed concern about broadband providers offering prioritized service in a manner that may harm rural 
or minority end users.115 Is it technically feasible for a broadband provider to block or degrade based on 
the location or neighborhood of the end user? Is it likely that it would do so? If so, how should our rules 
address this concern?","Open Internet Order concluded that broadband providers have the technical capability of limiting Internet openness. FCC seeks comment on how ability to identify and differentiate types of traffic has limited or helped technology or business practices. FCC also wants to know of other provider abilities not identified in 2010's Open Internet Order, specifically if and how a provider can throttle service to rural or minority subscribers.","Open Internet Order, seeks comment, management tools, Internet traffic, rural, minority, degrade"
52,"III, A, 2",DISCUSSION,The Continuing Need for Open Internet Protections,Broadband Providers Have the Incentive and Ability to Limit Openness,Technical Ability,"We seek comment on broadband providers’ ability to limit Internet openness through 
management of traffic on their own networks and limitations imposed on their end users. Providers 
generally have the ability to manage traffic and congestion on their own networks and have developed a 
number of techniques to do so. 116 For example, a provider can use technical methods like packet 
classification, admission control and resource reservation, rate control and traffic shaping, as well as 
packet dropping and packet scheduling to identify and manage traffic on its network.117 Such techniques 
may provide additional ability to discriminate in a way that is largely opaque to edge providers and end 
users.118 We seek comment on the technical tools broadband providers can and do use to manage traffic 
on their networks. ","Can the opaque techniques that broadband companies use to manage traffic and congestion internally with packet dropping, rate control, resource reservations, etc, be used to discriminate against edge providers and end users? What are new technical tools used to manage traffic on networks? ","limitations, manage traffic, congestion, technical methods, packet classification, admission control, resource reservation, rate control, traffic shaping, packet dropping, packet scheduling, opaque, technical tools"
53,"III, B",DISCUSSION,The Continuing Need for Open Internet Protections,Broadband Providers Have the Incentive and Ability to Limit Openness,Technical Ability,"The Open Internet Order found that providers had in fact used their ability to limit 
openness, citing several instances where broadband providers had been subject to Commission 
enforcement proceedings for violating open Internet norms.119 In the Order, the Commission cited the 
Madison River case, the Comcast-BitTorrent case, as well as various mobile wireless Internet providers’ 
refusal to allow customers to use competitive payment applications, competitive voice applications, and 
remote video applications.120 The Commission also noted other allegations of blocking or degrading 
peer-to-peer traffic, but did not determine whether those specific practices violated open Internet 
principles.121 The D.C. Circuit noted these examples along with the Commission’s as persuasive 
justification for adopting open Internet rules.122 ","Providers have limited Internet openness in instances like the Madison River case, the Comcast-BitTorrent case, limiting mobile voice applications and remote video applications. ","Open Internet Order, limit openness, broadband providers, Madison River case, BitTorrent, mobile wireless, voice applications, remote video applications, blocking, degrading, peer-to-peer traffic"
54,"III, B",DISCUSSION,Scope of the Rules,,,"The rules adopted in the Open Internet Order applied to “broadband Internet access 
service,” which was defined as: 
A mass-market retail service by wire or radio that provides the capability to transmit data 
to and receive data from all or substantially all Internet endpoints, including any 
capabilities that are incidental to and enable the operation of the communications service,
but excluding dial-up Internet access service. This term also encompasses any service 
that the Commission finds to be providing a functional equivalent of the service 
described in the previous sentence, or that is used to evade the protections set forth in this 
Part.123
The Order defined “mass market” to mean a service marketed and sold on a standardized basis to 
residential customers, small businesses, and other end-user customers such as schools and libraries, 
including services purchased with support of the E-rate program.124 ","Broadband Internet access services is defined as a service by wire or radio that provides a way to transmit data to and from Internet endpoints, including ways to communicate, but excluding dial-up internet access service. ","mass-market retail service, open internet order, communications service, dial-up"
55,"III, B",DISCUSSION,Scope of the Rules,,,"The Verizon decision upheld the Commission’s regulation of broadband Internet access 
service pursuant to section 706 and did not disturb this aspect of the Open Internet Order. Thus, the 
definition of “broadband Internet access service” remains a part of the Commission’s regulations. We 
tentatively conclude that we should retain this definition without modification. We seek comment on that 
conclusion. The court in Verizon also stated that, apart from the service provided to end users, 
“broadband providers furnish a service to edge providers, thus undoubtedly functioning as edge 
providers’ ‘carriers.’”125 We seek comment on whether this should be identified as a separate service and, 
if so, how we should define that service and what the regulatory consequences are, if any, of that 
definition.","Should the FCC keep the 2010 definition of ""broadband Internet access service?"" Should services to end users and services to edge providers be identified in the definition of ""broadband Internet access service"" seperately? ",
56,"III, B",DISCUSSION,Scope of the Rules,,,"We also seek comment on the following issues that arise in connection with the scope of 
the application of the rules we propose today.",FCC seeks comments on the issues below.,
57,"III, B",DISCUSSION,Scope of the Rules,,,"Specifically Identified Services. The Open Internet Order excluded certain categories of 
services from the definition of broadband Internet access service, such as dial-up Internet access service126
and multichannel video programming, the latter of which the Commission understood not to meet the 
definition of “provid[ing] the capability to transmit data to and receive data from all or substantially all 
Internet endpoints.”127 We tentatively conclude that we would maintain this approach, but seek comment 
on whether we should change this conclusion.","Specifically Identified Services: Should the FCC continue to exclude some services like dial-up Internet and multichannel video programming 
",
58,"III, B",DISCUSSION,Scope of the Rules,,,"Enterprise Services. The Open Internet Order excluded enterprise service offerings, 
which are typically offered to larger organizations through customized or individually negotiated 
arrangements.128 Similarly, the Open Internet Order excluded virtual private network services, hosting,
or data storage services. The Commission explained that such services “typically are not mass market 
services and/or do not provide the capability to transmit data to and receive data from all or substantially all Internet endpoints.”129 The Open Internet Order also established that the rules did not apply to: 
(1) edge provider activities, such as the provision of content on the Internet;130 and (2) premise operators, 
entities like coffee shops or bookstores, which offer Internet access services to their patrons.131 We 
tentatively conclude that we would maintain this approach, but seek comment on whether we should 
change this conclusion. ","Enterprise Services: Should the FCC continue to exclude virtual private network services, hosting, or data storage services from the definition of broadband Internet access service?",
59,"III, B",DISCUSSION,Scope of the Rules,,,"Internet Traffic Exchange. The Open Internet Order explained that its rules did not apply 
beyond “the limits of a broadband provider’s control over the transmission of data to or from its 
broadband customers.”132 In other words, the Order applied to a broadband provider’s use of its own 
network but did not apply the no-blocking or unreasonable discrimination rules to the exchange of traffic 
between networks, whether peering, paid peering, content delivery network (CDN) connection, or any 
other form of inter-network transmission of data, as well as provider-owned facilities that are dedicated 
solely to such interconnection. Thus, the Order noted that the rules were not intended “to affect existing 
arrangements for network interconnection, including existing paid peering arrangements.”133 We 
tentatively conclude that we should maintain this approach, but seek comment on whether we should 
change our conclusion. Some commenters have suggested that we should expand the scope of the open 
Internet rules to cover issues related to traffic exchange.134 We seek comment on these suggestions. For 
example, how can we ensure that a broadband provider would not be able to evade our open Internet rules 
by engaging in traffic exchange practices that would be outside the scope of the rules as proposed?","Internet Traffic Exchange: Should the FCC expand the scope of an open Internet rules to cover issues related to traffic exchange like peering, paid peering, content delivery network connections, or other forms of inter-network transmission of data? ",
60,"III, B",DISCUSSION,Scope of the Rules,,,"Specialized Services. In the Open Internet Order, the Commission recognized that 
broadband providers may offer “specialized services” over the same last-mile connections used to provide 
broadband service. The Commission stated that these services can benefit end users and spur investment, 
but also noted the potential for specialized services to jeopardize the open Internet.135 Due to these 
concerns, the Commission stated that it would monitor these services, but that its rules would “not 
prevent broadband providers from offering specialized services such as facilities-based VoIP.”136 We 
tentatively conclude that we should maintain this approach and continue to closely monitor the 
development of specialized services to ensure that broadband providers are not using them to bypass the 
open Internet rules or otherwise undermine a free and open Internet. We seek comment on this tentative 
conclusion. How can we ensure that the specialized services exception is not used to circumvent our open 
Internet rules? In addition, should specialized services be addressed within the scope of the 
“commercially reasonable” rule either as a safe harbor or among the factors for consideration?137 Should 
the Commission define “specialized services”?138
",Specialized Services: Should the FCC continue to exempt special services like facilities-based VoIP from oversight? How can the FCC ensure that specialized services excemption is nost used to circumvent open Ineternet rules?,
61,"III, B",DISCUSSION,Scope of the Rules,,,"Reasonable Network Management. Although the Open Internet Order’s definition of 
broadband Internet access service did not itself address reasonable network management, the concept was 
incorporated into each of the 2010 rules. Specifically, the transparency rule “does not require public 
disclosure of competitively sensitive information or information that would compromise network security 
or undermine the efficacy of reasonable network management practices.”139 The 2010 no-blocking rule
was made expressly subject to “reasonable network management.”140 And the unreasonable 
discrimination rule expressly provided for reasonable network management, which was defined as 
follows: “A network management practice is reasonable if it is appropriate and tailored to achieving a 
legitimate network management purpose, taking into account the particular network architecture and 
technology of the broadband Internet access service.”141 The Commission further concluded that it would 
“develop the scope of reasonable network management on a case-by-case basis.”142 We tentatively 
conclude that we should continue the same approach. We seek comment on this conclusion as applied to 
an enhanced transparency rule, our re-adoption of the no-blocking rule, and the proposal to adopt a 
“commercially reasonable” standard. How can we ensure that the ability of providers to engage in 
reasonable network management is not used to circumvent the open Internet protections implemented by 
our proposed rules?","Reasonable Network Management: The FCC did not define ""reasonable network management"" in 2010 and said it would consider the scope on a case-by-case basis. The concept was generally included in the transparency rule of the Open Internet Order . Should the FCC keep the definition as is?",
62,"III, B",DISCUSSION,Scope of the Rules,,,"Mobile Services. The Open Internet Order also adopted definitions for “fixed” and 
“mobile” Internet access service. It defined “fixed broadband Internet access service” to expressly 
include “broadband Internet access service that serves end users primarily at fixed endpoints using 
stationary equipment, . . . fixed wireless services (including fixed unlicensed wireless services), and fixed 
satellite services.”143 It defined “mobile broadband Internet access service” as “a broadband Internet 
access service that serves end users primarily using mobile stations.”144 The impact of this distinction 
varied by rule. The transparency rule applies equally to both fixed and mobile broadband Internet access 
service. The no-blocking rule applied a different standard to mobile broadband Internet access 
services,145 and mobile Internet access service was excluded from the unreasonable discrimination rule. 
We tentatively conclude that we should maintain the same approach in today’s Notice. We seek comment 
on this approach, which is discussed in more detail in the context of each of the proposed rules below. 
We recognize that there have been significant changes since 2010 in the mobile marketplace, including 
how mobile providers manage their networks, the increased use of Wi-Fi, and the increased use of mobile 
devices and applications. We seek comment on whether and, if so, how these changes should lead us to 
revisit our treatment of mobile broadband service. Specifically, we seek comment below on whether the no-blocking rule should continue to distinguish between fixed and mobile broadband146 and whether, 
under the commercially reasonable rule, mobile networks should be subject to the same totality-of-the-
circumstances test as fixed broadband.147 In addition, how should the definitions of “fixed” and “mobile” 
services be applied to a fixed broadband provider’s commercially deployed Wi-Fi service that is made 
available to the provider’s fixed broadband customers? How should such changes affect our treatment of 
reasonable network management for mobile providers? Similarly, how should we treat mobile services 
that are deployed and/or marketed as express substitutes for traditional telecommunications or broadband 
services? Finally, have there been changes in technology or the marketplace for the provision of satellite 
broadband Internet access service that should lead the Commission to reassess how its rules should apply 
to such services?","Mobile Services: The FCC wants to keep the definition for ""fixed"" and ""mobile"" Internet access service. There have been significant changes since 2010 to the mobile marketplace so should the FCC alter its definition? Some new developments to consider: Commercially deployed Wi-Fi service to broadband customers, mobile services as substitutes for traditional broadband services, satellite broadband Internet service.",
63,"III, C, 1",DISCUSSION,Transparency Requirements to Protect and Promote Internet Openness,The 2010 Transparency Rule,,"In the Open Internet Order, the Commission concluded that effective disclosure of 
broadband providers’ network management practices, performance, and commercial terms of service 
promotes competition, innovation, investment, end-user choice, and broadband adoption.148 To that end, 
the Commission adopted the following transparency rule:
A person engaged in the provision of broadband Internet access service shall publicly 
disclose accurate information regarding the network management practices, performance, 
and commercial terms of its broadband Internet access services sufficient for consumers 
to make informed choices regarding the use of such services and for content, application, 
service, and device providers to develop, market, and maintain Internet offerings.149","Transparency rule: Broadband companies must disclose information about their network management practices, performance, and commercial terms of its broadband Internet access services to allow customers to make informed choices.",
64,"III, C, 1",DISCUSSION,Transparency Requirements to Protect and Promote Internet Openness,The 2010 Transparency Rule,,"The Commission determined that the best approach to implementing the transparency 
rule was to allow broadband providers flexibility, while providing guidance concerning effective 
disclosure.150 The Commission stated that “effective disclosures will likely include” information 
concerning “some or all” of the following topics: (1) network practices, including congestion 
management, application-specific behavior, device attachment rules, and security measures; 
(2) performance characteristics, including a general description of system performance (such as speed and 
latency) and the effects of specialized services on available capacity; and (3) commercial terms, including 
pricing, privacy policies, and redress options.151 In 2011, the Commission’s Enforcement Bureau and 
Office of General Counsel issued advisory guidance to further clarify compliance with the transparency 
requirements regarding point-of-sale disclosures, service descriptions, security measures, and the extent 
of required disclosures, while noting that “these particular methods of compliance are not required or 
exclusive; broadband providers may comply with the transparency rule in other ways.”152 ","The FCC, under its transparency rulles, will likely seek disclosure on: network practices; performance characteristics; and commercial terms.",
65,"III, C, 1",DISCUSSION,Transparency Requirements to Protect and Promote Internet Openness,The 2010 Transparency Rule,,"The D.C. Circuit’s decision in Verizon v. FCC upheld the transparency rule, which 
remains in full force, applicable to both fixed and mobile providers.153 In today’s Notice, we inquire as to 
ways that the transparency rule can be improved, taking into account changes in the nature of the 
provision of broadband services since 2010. We believe we have ample authority not only for our 
existing transparency rule, but also for the enhanced transparency rule we propose today, whether the 
Commission ultimately relies on section 706, Title II, or another source of legal authority. We seek 
comment on whether and how—if at all—the source of the Commission’s legal authority relied upon to 
adopt other open Internet rules would affect the authority or authorities that provide the strongest basis for 
any improvements to the transparency rule or otherwise would inform how we define the goal of 
transparency in general.154 ","The FCC seeks comment on how its transparency rule can be improved, noting it believes it has legal authority not only for the existing rule for further changes.",
66,"III, C, 2",DISCUSSION,Transparency Requirements to Protect and Promote Internet Openness,Enhancing Transparency to Protect and Promote Internet Openness,,"“Sunlight,” as Justice Brandeis has explained, “is . . . the best of disinfectants.”155 If 
designed correctly, disclosure policies are among the most effective and least intrusive regulatory 
measures at the Commission’s disposal.156 Applied here, the Commission continues to believe that access 
to accurate information about broadband provider practices encourages the competition, innovation, and 
high-quality services that drive consumer demand and broadband investment and deployment.157 The 
transparency rule thereby reflects the “virtuous circle” that, in the long term, unites the interests of end users, edge providers, and the broader Internet community. As the Commission explained in the Open 
Internet Order, disclosures under the rule: (1) help end users make informed choices regarding the 
purchase and use of broadband services and increase end users’ confidence in broadband providers’ 
practices; (2) ensure that edge providers have access to broadband providers’ network information 
necessary to develop innovative new applications and services; and (3) inform the Internet community 
and the Commission about broadband providers’ practices and conduct that could impact Internet 
openness.158 In today’s Notice, we seek comment on the effectiveness of the existing transparency rule 
and on whether and, if so, how the rule should be enhanced to meet its goals with respect to end users, 
edge providers, the Internet community, and the Commission. ","The FCC believes disclosure policies are among the most effective and least intrusive measures that can be taken to ensure competition, innovation and high-quality services for consumers and broadband investment.",
67,"III, C, 2",DISCUSSION,Transparency Requirements to Protect and Promote Internet Openness,Enhancing Transparency to Protect and Promote Internet Openness,,"Today, we seek general comment on how well the Commission’s existing transparency 
rule is working. We are especially interested in comments that describe the current operation, benefits,
and shortcomings of the existing rule, how broadband providers are complying with it, and how we 
should measure such compliance.159 We are also mindful that the additional rules we propose today to 
protect Internet openness consistent with the D.C. Circuit’s decision may place even greater importance 
on the extent to which information about broadband providers’ practices is disclosed to end users, edge 
providers, and the Commission. Taking all of that into account, we tentatively conclude that we should 
enhance the transparency rule to improve its effectiveness for end users, edge providers, the Internet 
community, and the Commission. We seek comment on this tentative conclusion and on what burdens or 
compliance issues may be associated with this approach, including for smaller providers. ","The FCC seeks comment on well the current transparency rule is working, particularly how well it is working, its benefits, and its shortcomings, as it considers how to change the rule.",
68,"III, C, 2",DISCUSSION,Transparency Requirements to Protect and Promote Internet Openness,Enhancing Transparency to Protect and Promote Internet Openness,,"Tailored disclosures. In the Open Internet Order, the Commission stated that broadband 
providers may be able to satisfy the transparency rule through use of a single disclosure, and therefore did 
not require different types of disclosures to different parties such as individual end users, edge providers, 
the broader Internet community, and the Commission.160 We have concerns that a single disclosure may 
not provide the required disclosures in a manner that adequately satisfies the informational needs of all 
affected parties. For example, some recent research suggests that consumers have difficulty 
understanding commonly used terms associated with the provision of broadband services.161 Edge 
providers, however, may benefit from descriptions that are more technically detailed.162 We therefore 
tentatively conclude that it would be more effective to require broadband providers to more specifically 
tailor disclosures to the needs of these affected parties. We seek comment on this tentative conclusion, on 
the nature of the disclosures that should be tailored, and on what burdens or compliance issues, if any, 
may be associated with more targeted disclosures. ","One tentative change in the transparency rule would be to require broadband providers to make separate disclosures for different users, such as consumers, edge providers, the broader Internet community, and the FCC.",
69,"III, C, 2",DISCUSSION,Transparency Requirements to Protect and Promote Internet Openness,Enhancing Transparency to Protect and Promote Internet Openness,Transparency to End Users,"Since the Commission adopted the transparency rule, we have received hundreds of 
complaints from consumers suggesting that, under the rule, broadband providers may not be providing
end user consumers the accurate information they need and have a right to receive.163 Of particular concern to many consumers is that the speed of their service falls short of the advertised speed.164 Many 
consumers complain that they have been charged amounts greater than advertised rates, including fees 
and charges beyond basic rates.165 We have also received a number of consumer complaints raising 
questions about the source of slow or congested services.166 Consumers have also reported surprise at 
broadband providers’ statements about slowed or terminated service based on consumers’ “excessive 
use.” Other consumers report confusion about how data consumption is calculated for purposes of data 
caps.167  ","The FCC has received hundreds of complaints from consumers that broadband providers are not providing consumers with accurate information, that they are being charged more than advertised rates, services are slow, and about how data consumption is calculated.",
70,"III, C, 2",DISCUSSION,Transparency Requirements to Protect and Promote Internet Openness,Enhancing Transparency to Protect and Promote Internet Openness,Transparency to End Users,"We seek comment on the extent to which the existing transparency rule is effectively 
informing end users. We are interested both in what information broadband providers are disclosing to 
end users and how that information is being disclosed. In addition, we seek comment on the incentives 
and ability of broadband providers to provide service at lower quality or higher prices than their 
subscribers expected when they enrolled, and on the incentives and ability of subscribers to choose other 
options if their broadband providers fail to live up to these expectations. If a subscriber is locked in to a 
particular provider, how can transparency rules bring the performance of that provider up to the 
subscriber’s expectations?","The FCC wants comments on how effective the transparency rule effects consumers, such as what information broadband providers disclose, or is there a way transparency rules can help a subscriber who is locked into a plan but bedevilled by bad service.",
71,"III, C, 2",DISCUSSION,Transparency Requirements to Protect and Promote Internet Openness,Enhancing Transparency to Protect and Promote Internet Openness,Transparency to End Users,"In light of the consumer complaints discussed above, we also consider enhancements to 
the existing rule with respect to the content, form, and method of broadband providers’ disclosures to end 
users. ","Because of consumer complaints, the FCC is considering different ways broadband providers would produce their disclosures.",
72,"III, C, 2",DISCUSSION,Transparency Requirements to Protect and Promote Internet Openness,Enhancing Transparency to Protect and Promote Internet Openness,Transparency to End Users,"Content and Form of Disclosure. We seek comment on whether there are ways to make 
the content and format of disclosures more accessible and understandable to end users. With respect to 
content, should the Commission require the disclosure of specific broadband provider network practices, 
performance characteristics (e.g., effective download speeds, upload speeds, latency, and packet loss),
and/or terms and conditions of service to end users (e.g., data caps)? We are particularly interested in 
whether there are network practices, performance characteristics, or commercial terms relating to 
broadband service that are particularly essential but not easily discoverable by end users absent effective 
disclosure. With respect to format, both academic research and the Commission’s experience with 
consumer issues have demonstrated that the manner in which providers display information to consumers 
can have as much impact on consumer decisions as the information itself.168 We therefore seek comment on best practices for displaying and formatting relevant disclosures for end users, including any potential 
costs and burdens to broadband providers.169 For example, the Open Internet Advisory Committee 
(OIAC) has proposed the use of a standardized label for Internet service that includes basic information 
such as performance speed (i.e., upload and download speed), price (i.e., monthly fee averaged over three 
years), and usage restrictions (i.e., any points at which the applicable terms of service change, including 
data usage caps and any charges, speed reductions, or other penalties for exceeding a cap) that consumers 
can use to comparison shop for service.170 Are there lessons we can learn regarding effective disclosure 
practices from independent consumer research or disclosure in other approaches to standardized labels?171 
Should the information be made available in a machine-readable format, such as XML, that might allow 
the Commission, industry associations, or other organizations to easily access and synthesize information 
for consumers?",Question: Are there ways to make the content and format of disclosures more accessible and understandable?,
73,"III, C, 2",DISCUSSION,Transparency Requirements to Protect and Promote Internet Openness,Enhancing Transparency to Protect and Promote Internet Openness,Transparency to End Users,"Network Practices. With respect to data caps, should we require disclosures that permit 
end users to identify application-specific usage or to distinguish which user or device contributed to 
which part of the total data usage? Should we require disclosure of any type of traffic exempted from any 
data caps, and how end users can find their current consumption levels? Should we require that 
disclosures explain any restrictions on tethering for mobile devices? Should the Commission expand its 
transparency efforts to include measurement of other aspects of service such as packet loss, packet 
corruption, latency, and jitter in addition to upstream and downstream speed? Should the Commission 
require the reporting of actual achieved results for each category? If providers offer different tiers of 
service to their end users, should providers be required to make disclosures by tier? What should be the 
required timing of any such disclosures? Is it important that network practices be disclosed in advance of 
their implementation?",Question: What information and practices about network practices should be included or ignored?,
74,"III, C, 2",DISCUSSION,Transparency Requirements to Protect and Promote Internet Openness,Enhancing Transparency to Protect and Promote Internet Openness,Transparency to End Users,"Method of Disclosure. The Transparency Compliance PN advised broadband providers 
that they can comply with the point-of-sale disclosure requirement by, for instance, “directing prospective 
customers at the point of sale, orally and/or prominently in writing, to a web address at which the required 
disclosures are clearly posted and updated.”172 We seek comment on whether that approach is adequate 
or whether the Commission should consider alternative approaches. ",Question: Is the point-of-sale disclosure requirement for broadband providers adequate as it stands?,
75,"III, C, 2",DISCUSSION,Transparency Requirements to Protect and Promote Internet Openness,Enhancing Transparency to Protect and Promote Internet Openness,Transparency to Edge Providers,"As noted above, the Commission also adopted the transparency rule to ensure that 
broadband providers would disclose sufficient information to permit “content, application, service, and 
device providers to develop, market, and maintain Internet offerings.”173 Some commenters have 
suggested that current disclosures provide insufficient information for edge providers.174 We seek 
comment on how the existing transparency rule is working and how we can enhance its effectiveness with 
respect to edge providers. Should we view some categories of edge providers, such as start-up 
companies, as having distinct needs and, if so, what would be the implications for an enhanced 
transparency rule? ",Question: Should the transparency rule be extended to edge providers?,
76,"III, C, 2",DISCUSSION,Transparency Requirements to Protect and Promote Internet Openness,Enhancing Transparency to Protect and Promote Internet Openness,Transparency to Edge Providers,"We also seek comment on the extent to which the transparency rule does, or should, 
disclose useful information to providers who seek to exchange traffic with broadband provider networks. 
In other words, should we view transit, CDN, or other providers engaged in Internet traffic exchange as a 
class of persons whose interests are similar to those of edge providers who wish “to develop, market, and 
maintain Internet offerings,” perhaps because they may have such edge providers as their customers? For 
instance, many edge providers utilize the services of an intermediary CDN, such as Akamai, EdgeCast, 
Limelight, or Level 3, or cloud service providers such as Amazon, Microsoft, or RackSpace, which 
provide the servers upon which the applications run and also interconnect directly with broadband 
providers. Other edge providers bypass these networks and interconnect directly with broadband 
providers through peering arrangements. Some edge providers, such as Google or Amazon, may act both 
as content providers for their own services and as CDNs or cloud service providers for other services. We 
seek comment on whether these subgroups have distinguishable needs for information that could be 
provided through disclosure and, if so, what kind of information would be most useful. ",Question: Should the transparency rule disclose information to providers who traffic with broadband provider networks?,
77,"III, C, 2",DISCUSSION,Transparency Requirements to Protect and Promote Internet Openness,Enhancing Transparency to Protect and Promote Internet Openness,Transparency to the Internet Community and the Commission,"The Common Interests of End Users, Edge Providers, and the Broader Internet 
Community. We seek comment on the extent to which the existing transparency rule fully reflects the 
“virtuous circle” that, in the long term, unites the interests of end users, edge providers, the broader 
Internet community, and the Commission. Are there ways to enhance the transparency rule to further 
facilitate the virtuous circle? What other disclosures might encourage and improve the deployment of 
broadband in the United States?",Question: Can the transparency rule be enhanced to promote the virtuous circle?,
